Row,Ticket_ID,Customer_Message,Expected_Intent,Predicted_Intent,Expected_Action,Predicted_Escalation,Agent_Reply,Gemini_Score
61,TICKET_61,@115850 why not able to add gift voucher received from Yippee,Payment Issue,Payment Issue,Auto-handle,false,"Hi there,

I’m sorry you’re having trouble adding your gift voucher. To resolve this quickly, please visit the following support page: https://t.co/TxK11znixD. Our team will be able to assist you with adding the voucher amount and answer any other questions you may have.

If you continue to experience issues after following the link, feel free to let us know and we’ll be happy to help further.

Thank you for your patience!

Best regards,
Amazon Customer Support",1
62,TICKET_62,"I'm really thankful for Edwin over at @115821 for helping me out, but I'm still really upset I've had to deal with the same issue twice in one week. Amazon and I used to have such a great relationship.",Escalation,Escalation,Escalate to Human,true,"Dear valued customer,

Thank you for acknowledging Edwin's assistance. I’m truly sorry to hear that you’re still experiencing the same issue again and that this has caused frustration. Your experience does not reflect the high standard of service we aim to provide.

I’m escalating your case to a senior specialist who will review the previous interactions and work with you to resolve the problem promptly. Could you please provide any additional details or order numbers related to the recurring issue? This will help us address it more effectively.

We appreciate your patience and loyalty, and we are committed to restoring the great relationship you’ve had with Amazon.

Sincerely,
Amazon Customer Support",5
63,TICKET_63,"Se non c'è fretta nel farglielo ritrovare giochiamo ad acqua, fuoco e fuochino 😂 - MG",Other,Other,Escalate to Human,false,"Ciao MG,

Grazie per averci scritto. Per poterti aiutare al meglio, ti invitiamo a contattare il nostro Servizio Clienti tramite il seguente link: https://t.co/UsC4ePCPhC. I nostri colleghi saranno felici di assisterti e di risolvere qualsiasi problema tu abbia riscontrato.

Rimaniamo a disposizione per qualsiasi altra domanda.

Cordiali saluti,
Il Team Amazon",5
64,TICKET_64,@115850 My order #408-2638784-9394763 was for 2 pcs of Pop sockets. Recvd only 1 pc Pls refund or send me d pending item #CustomerService,Replacement,Refund,Escalate to Human,false,"Hello,

I’m very sorry to hear that your order #408-2638784-9394763 arrived with only one pop socket instead of the two you purchased. I understand how disappointing this must be.

I’ll gladly help resolve this for you. We can either issue a refund for the missing item or ship the second pop socket to you right away—whichever you prefer. Please let me know which option you’d like to proceed with, and I’ll take care of it immediately.

Thank you for bringing this to our attention, and I appreciate your patience while we fix the issue.

Best regards,
Amazon Customer Support",5
65,TICKET_65,It’s https://t.co/dED0SzPfH4,Order Tracking,Escalation,Auto-handle,true,"Hello,

Thank you for reaching out. I’m sorry, but I’m unable to determine the nature of your request from the link you shared. Could you please provide more details about the issue you’re experiencing (e.g., order number, delivery concern, or any other specific problem)? This will help us assist you more effectively.

We look forward to your reply so we can resolve this for you as quickly as possible.

Best regards,
Amazon Customer Support",1
66,TICKET_66,"@115830 Yes they were split but both were for next day delivery, both said due by 8pm yesterday one arrived the other hasnt n tracking now says 8nov",Order Tracking,Order Tracking,Auto-handle,false,"Hi there, I’m sorry to hear that one of your items hasn’t arrived yet. To help us locate the package, could you let us know which carrier is handling this shipment? You can also check the latest status here: https://t.co/Y5jpI9gRhE. Once we have that information, we’ll work to get your item to you as quickly as possible.",1
67,TICKET_67,なんかAmazonから有料サイト使用の際の未納分があります、本日中に連絡しないと法的処置に移行しますってショートメール来たんだけどさ。カード登録してんだからそっから落とせよ。つかメールアドレス登録してんだからそっちに送れよって思うよね。みんな気をつけてね。,Other,Payment Issue,Escalate to Human,true,"お客様

この度はご不安な思いをさせてしまい、誠に申し訳ございません。Amazonからの請求や法的措置に関する短いメールは、当社から送信したものではない可能性が高く、詐欺メールの疑いがあります。

まず、メールに記載されたリンクや電話番号は決してクリック・ご利用いただかないようお願いいたします。お客様のご登録情報（クレジットカードやメールアドレス）は安全に保護されておりますので、こちらから追加で料金を引き落とすことはありません。

この件につきましては、専門の担当者が詳細を確認し、適切な対応をさせていただきます。お手数ですが、受信されたメッセージの全文（スクリーンショットやメールヘッダー情報があれば）をご提供いただけますでしょうか？

ご不明点やご心配な点がございましたら、遠慮なくお知らせください。迅速に対応させていただきます。

何卒よろしくお願い申し上げます。
Amazon カスタマーサービス",5
68,TICKET_68,@230099 @115821 @UPSHelp I just live-chatted and there is no resolution. They'll let me know new date when they get warehouse unloaded. Oh well. You're right. It is what it is.,Order Tracking,Order Tracking,Escalate to Human,false,"I’m sorry to hear that your recent live‑chat didn’t resolve the delivery issue. I understand how frustrating it can be to wait for a new shipping date. To help you further, could you please provide your order number? Once I have that, I can check the latest tracking information and contact UPS on your behalf to get an updated delivery estimate. In the meantime, you can also view the current status of your shipment here: https://www.amazon.com/gp/css/track.html. If you’d prefer immediate assistance, you can reach us by phone or chat using the link below, and we’ll work to secure a concrete delivery date for you: https://t.co/hApLpMlfHN. Thank you for your patience, and we’ll do everything we can to get your package to you as soon as possible.",3
69,TICKET_69,"Hey @115821, I’ll be canceling my Prime subscription now that #amzl_us has delivered my 1 day order late for the fourth time in a row.",Escalation,Cancellation,Escalate to Human,false,"Hi there,

I’m very sorry to hear about the repeated delays you’ve experienced with your orders. I understand how frustrating that must be, especially when you’re expecting fast delivery with Prime.

I can help you cancel your Prime membership right away. Please confirm that you’d like to proceed, and I’ll take care of the cancellation for you. If there’s anything else we can do to improve your experience or if you’d like to discuss alternative options, just let me know.

Thank you for bringing this to our attention, and again, I apologize for the inconvenience.

Best regards,
Amazon Customer Support",1
70,TICKET_70,@115821 @115850 I have sent 100s of reply but none respond or answer me as what violation I did.. can you answer me as what was my violation?,Account Login,Escalation,Escalate to Human,true,"We’re sorry for the frustration you’ve experienced. I understand you’d like to know the specific reason for the violation on your account. To provide an accurate and detailed response, I’ll forward your inquiry to our specialized team who can review your case and get back to you as soon as possible. Thank you for your patience.",5
71,TICKET_71,It's been approved,Other,Other,Auto-handle,true,"Hello,

Thank you for reaching out. I’m happy to help, but I need a bit more information to understand your request. Could you please let me know what has been approved and how I can assist you further?

Thank you for your patience, and I look forward to your reply.

Best regards,
Amazon Customer Support",2
72,TICKET_72,なるほど、教えて下さっでありがとうございます。,acknowledge,Other,Escalate to Human,false,ご利用いただきありがとうございます。ご不明点やご質問がございましたら、いつでもお気軽にお知らせください。今後ともよろしくお願いいたします。,1
73,TICKET_73,"@115830 hi, is there a contact number for World of Books Ltd? Parcel still not jere &amp; needed for tomorrow!! Help.",Order Tracking,Order Tracking,Escalate to Human,false,"Hello, I'm sorry to hear that your parcel hasn't arrived yet. To help you locate it, could you please provide your order number or the email address used for the purchase? Once we have that information, we can check the shipment status and share the tracking details with you. While we don't have a direct phone number for World of Books Ltd, we can assist you in resolving this promptly. Thank you for your patience.",1
74,TICKET_74,FYI order is 702-1921765-1055463 on @116090 . I have another order with a $0.03 list price drop and I need to know soon what will happen to it.,Payment Issue,Refund,Auto-handle,true,"Hello,

Thank you for reaching out and providing your order number (702-1921765-1055463). I understand you’re concerned about a recent $0.03 price drop on another order and would like to know how that will be handled.

Because price‑adjustment inquiries are not covered in the information we have on hand, I’m escalating this case to a senior member of our team who can review the details and provide you with a definitive answer.

We appreciate your patience and will get back to you as soon as possible with an update. If you have any additional information (such as the order number for the item with the price change), please feel free to share it.

Thank you for shopping with Amazon.

Best regards,
Amazon Customer Support",1
75,TICKET_75,Tfw don’t dispatch your parcel and then refuse to cancel it?? Yeah nice one cheers I DONT NEED IT ANYMORE,Escalation,Cancellation,Escalate to Human,false,"Hello,

I’m sorry to hear about the inconvenience you’ve experienced. I understand you’d like to cancel your order since it has not yet been dispatched. To help you quickly, could you please provide the order number or the email address associated with the purchase? Once I have that information, I’ll verify the order status and process the cancellation for you.

If the order has already shipped, I can also guide you through the return process. Thank you for your patience, and I look forward to resolving this for you promptly.

Best regards,
Amazon Customer Support",1
76,TICKET_76,The new films &amp; rentals options are blank.,Other,Other,Auto-handle,true,"Hello,

Thank you for reaching out. I’m sorry to hear that the new films and rentals sections are appearing blank for you. To investigate this further and resolve the issue, I’ll forward your request to our specialized support team. They will review the details and get back to you as soon as possible.

We appreciate your patience and apologize for any inconvenience.

If you have any additional information (such as the device you’re using or any error messages), please let us know so we can assist the team in diagnosing the problem.

Thank you for choosing Amazon.

Best regards,
Amazon Customer Support",1
77,TICKET_77,That’s not the problem just want to down load to the echo app albums but I can’t,Other,Other,Auto-handle,false,"I’m sorry you’re having trouble downloading albums to the Echo app. To help us pinpoint the issue, could you let us know whether you’re using an Android or an iPhone/iPad? Also, please try the following steps:
1. Ensure the Alexa app is updated to the latest version in the App Store or Google Play.
2. Verify that your device has enough free storage for the download.
3. Log out of the app and sign back in.
4. Restart your phone and then open the app again.
If the problem persists after trying these steps, please let us know the device model and any error messages you see, and we’ll investigate further.
Thank you for your patience!",1
78,TICKET_78,Sí. Compré en preventa ese libro y salió a la venta el 31 de octubre. Aún no me lo envían.,Order Tracking,Order Tracking,Escalate to Human,false,"Hola,

Gracias por contactarnos. Lamento que aún no haya recibido el libro que compró en preventa. Para poder verificar el estado de su envío, ¿podría proporcionarnos el número de pedido o la dirección de correo electrónico asociada a la cuenta? Con esa información revisaremos el seguimiento y le informaremos la fecha estimada de entrega.

Agradecemos su paciencia y quedamos atentos a su respuesta.

Saludos cordiales,
Equipo de Atención al Cliente de Amazon",1
79,TICKET_79,"Je n’y parviens pas à chaque test d’envoi de fax, on me dit erreur communication. Je n’ai pas confiance en l’envoi par voie postale, encore moins à une adresse anglaise. Belle manière d’accueillir un nouveau client en ce Black friday..",Account Login,Other,Escalate to Human,true,"Bonjour,

Nous sommes désolés d’apprendre que vous rencontrez des erreurs de communication à chaque test d’envoi de fax et que vous avez des doutes quant à l’envoi postal vers une adresse anglaise, surtout en cette période de Black Friday.

Afin de résoudre rapidement ce problème, nous allons transmettre votre demande à notre équipe spécialisée qui pourra vous proposer des alternatives (envoi électronique, adresse de dépôt différente, etc.) et vérifier le statut de votre envoi.

Pour nous aider à traiter votre demande le plus efficacement possible, pourriez‑vous nous communiquer le numéro de référence de votre commande ou le document que vous essayez d’envoyer ? Nous vous remercions de votre patience et nous excusons pour les désagréments rencontrés.

Cordialement,
Service Client Amazon",5
80,TICKET_80,I tried the chat team earlier. They said someone would email me. So will wait and see what they say I guess. Is there a way to cast to the Echo from the App?,Other,Escalation,Auto-handle,true,I’m sorry I’m unable to answer your question about casting to an Echo from the app based on the information we have. I’m escalating this to a specialist who can provide the correct guidance. You’ll hear back from us shortly via email. Thank you for your patience.,1
81,TICKET_81,What a solution to the problem. U need 3 more days to ship my package frm mumbai warehouse to thane. Even snails are faster than ur delivery,Order Tracking,Escalation,Escalate to Human,true,"Dear Customer,

I’m very sorry to hear about the delay you’re experiencing with your shipment from our Mumbai warehouse to Thane. I understand how frustrating this must be, especially when the delivery is taking longer than expected.

To investigate this further and provide a swift resolution, I’m escalating your case to our dedicated logistics team. Could you please share your order number and any additional details (such as the expected delivery date) so we can prioritize this for you?

Thank you for your patience, and we appreciate the opportunity to make this right.

Sincerely,
Amazon Customer Support",5
82,TICKET_82,"@115850 while other players in the market update wallets in mins, .@115850 takes 24 hrs to update their wallet - Pay balance!",Payment Issue,Payment Issue,Auto-handle,false,"Hi @115850,

I understand how frustrating it can be to wait for your wallet balance to update, especially when other services reflect changes instantly. As mentioned in our previous communications, wallet credits (including cashback) typically require 24‑48 working hours to be processed. Our team is actively working on your request, and the balance should appear within that timeframe.

Thank you for your patience. If you don’t see the update after 48 hours, please let us know and we’ll investigate further.

Best regards,
Amazon Customer Support",5
83,TICKET_83,I hv nt receivd any mail on my registered email. Further would request u to counter me here instead of running away. Put the facts here. I AM CONFIDENT mine is not isolated incidence. Amazon has duped many with fake products. It clear from its behaviour. I appeal to avoid Amazon,Escalation,Escalation,Escalate to Human,true,"Hello,

I’m sorry to hear that you haven’t received any emails at your registered address and that you’re experiencing concerns about the authenticity of products. I understand how frustrating this must be.

To investigate this matter thoroughly, I’ll forward your case to our specialized team. They will review the details you’ve provided and reach out to you directly with a resolution.

If you have any additional information—such as order numbers, screenshots of the missing emails, or specific product details—please share them here so we can assist you more efficiently.

Thank you for bringing this to our attention. We appreciate your patience while we look into this.

Best regards,
Amazon Customer Support",5
84,TICKET_84,"@118919 Hi Team, I am planning to buy Echo for my family in India. How long I have to wait for the invitation letter. Plus I already have prime in USA, should I get one in India also ?",Other,Other,Auto-handle,false,"Hello @118919,

Thank you for your interest in purchasing an Echo for your family in India. At this time, Echo devices are available in India only through an invitation system. To request an invitation, please visit the Echo product page using the link below, select the device you’d like, and click “Request an invitation.”

https://t.co/twkEAadm91

Once we receive your request, we will process it and send you the invitation as soon as possible. The exact waiting time can vary, but we aim to get the invitation to you promptly.

Regarding your Prime membership, having a Prime account in the USA does not automatically grant Prime benefits in India. If you would like to enjoy Prime benefits (such as faster shipping or Prime Video) while in India, you will need to sign up for an Indian Prime membership separately.

If you have any further questions or need additional assistance, please let us know. We're happy to help!

Best regards,
Amazon Customer Support",5
85,TICKET_85,返信ありがとうございます。 今までなら注文したその日にメールが届いたんですが、1日経ってもメールが届きません。 メッセージセンターも確認しましたがまだ届いてないようです。 お届け予定日を超えてしまわないか心配です。,Order Tracking,Order Tracking,Escalate to Human,false,"お客様

ご連絡いただきありがとうございます。ご注文の確認メールが届かず、ご不安な思いをさせてしまい申し訳ございません。メールの送信はシステム上の遅延やメールプロバイダーの受信設定により、数時間から1日程度かかることがございます。

ご注文の現在の配送状況は、以下の手順でご確認いただけます。
1. Amazonアプリまたはウェブサイトにログインし、右上の「注文履歴」を開く。
2. 該当の注文を選択し、「配送状況を表示」をクリックすると、最新の追跡情報が表示されます。
3. もし追跡情報が「配達中」や「配達予定日」と表示されていない場合は、こちらのリンク（https://t.co/J6YEizo6qC）からカスタマーサービスへお問い合わせください。

また、メールが届かない場合は、迷惑メールフォルダや受信設定をご確認いただくとともに、メールアドレスが正しく登録されているかご確認ください。必要に応じて、メールアドレスの再設定や再送信の手配も承りますので、お気軽にお知らせください。

お届け予定日を過ぎても商品が届かない場合は、速やかにご連絡いただければ対応させていただきます。何かご不明点がございましたら、どうぞ遠慮なくお知らせください。

引き続きAmazonをご利用いただけますよう、よろしくお願い申し上げます。",1
86,TICKET_86,@115850 What is the customer care number of Amazon India?,Escalation,Escalation,Escalate to Human,true,"We’re sorry for the inconvenience. Unfortunately, we don’t have the specific Amazon India customer care number available in our records. I’m escalating your request to a senior support representative who will be able to provide you with the correct contact details promptly. Thank you for your patience.",5
87,TICKET_87,@115850 I did not get my product that I order plz help,Order Tracking,Order Tracking,Escalate to Human,false,"Hello,

I’m sorry to hear that you haven’t received your order yet. I understand how frustrating this can be. Could you please provide your order number or the email address associated with the purchase? Once I have that information, I’ll be able to locate your shipment and give you an update on its status.

Thank you for your patience, and I look forward to resolving this for you as quickly as possible.

Best regards,
Amazon Customer Support",3
88,TICKET_88,"@115850 I bought one plus 3T phone on 21st sep 2017(ORDER # 408-8137211-1133927). product was defective. On placing return, amazon1/2",Replacement,Refund,Escalate to Human,false,"Hello,

I'm sorry to hear that the OnePlus 3T you received is defective. I understand how frustrating that can be. To help you process a refund, could you please confirm that you have already started the return request in your Amazon account? If you haven't completed the return steps, you can do so by visiting Your Orders, selecting the item, and choosing ""Return or replace items.""

Once the return is initiated and the item is received back at our fulfillment center, we will promptly issue a refund to your original payment method. If you encounter any issues while creating the return or have any additional questions, please let us know, and we'll be happy to assist further.

Thank you for your patience, and we appreciate the opportunity to resolve this for you.

Best regards,
Amazon Customer Support",1
89,TICKET_89,"I have used this link given by you thrice already, now I need an immediate response.",Escalation,Escalation,Escalate to Human,true,"We’re sorry for the inconvenience you’re experiencing. To ensure we address your concern promptly and accurately, I’m escalating this case to a senior specialist who will review the link you mentioned and get back to you as soon as possible. Thank you for your patience.",5
90,TICKET_90,"@115830 Hello. i ordered this Pop Vinyl on Saturday, costing £30.21, and just checked my orders on my profile and is not there... https://t.co/FOcAyfbhqG",Order Tracking,Order Tracking,Escalate to Human,false,"Hello,

I’m sorry to hear that your recent Pop Vinyl order isn’t appearing in your account. To help locate the order and provide you with its status, could you please share the order number (it usually starts with ""#"" and is 3‑10 digits) or any confirmation email you received? Once we have that information, I’ll be able to check the shipment details and let you know when to expect your item.

Thank you for your patience, and I look forward to resolving this for you quickly.

Best regards,
Amazon Customer Support",1
91,TICKET_91,And at time of shopping there was no any condition about exclusion of this product.,Escalation,Escalation,Escalate to Human,true,"We’re sorry for any confusion regarding the product’s eligibility. To better assist you, we’ll forward your inquiry to our specialized team who can review the details and provide a resolution. Thank you for your patience.",5
92,TICKET_92,"It was Amazon delivery. First time this year, constant last year",Order Tracking,Other,Escalate to Human,true,"Hello,

Thank you for reaching out. I’m sorry to hear you’re experiencing an issue with your Amazon delivery. To better assist you, could you please provide a few more details? For example, the order number, the specific problem you encountered, and any relevant dates would be very helpful.

Once we have that information, we’ll be able to investigate further and find a solution for you.

Thank you for your patience, and we look forward to resolving this for you promptly.

Best regards,
Amazon Customer Support",1
93,TICKET_93,"It was both, there were multiple products in one shipment.",Order Tracking,Escalation,Auto-handle,true,"We’re sorry to hear there’s an issue with your shipment. To help us resolve this quickly, could you please provide more details about the items you received versus what you ordered? Once we have that information, we’ll be able to determine the best solution for you. Thank you for your patience.",5
94,TICKET_94,どうも。Chromeのおそらく最新版（61.0.3163.100）で、OSはWindows10 64bit（最新）です。Chromeでも他のサイトは全く重くなく、Amazonだけがページの更新や切り替わりが異常に遅いです。たまにエラーにも。IE、スマホアプリでは問題ありません。,Other,Other,Escalate to Human,true,"お客様へ

この度は、Amazonのウェブサイトをご利用いただく際に、ページの更新や切り替えが遅くなる、エラーが発生するなどの不具合が生じているとのこと、誠に申し訳ございません。ご提供いただいた環境情報（Chrome 61.0.3163.100、Windows 10 64bit）をもとに、技術チームにて詳細を確認させていただきます。

お手数ですが、以下の情報をご提供いただけますでしょうか。
- 発生した具体的なエラーメッセージ（画面に表示される文言）
- 問題が起きた際の操作手順（例：商品ページの閲覧、カートへの追加など）
- ご利用のインターネット接続環境（Wi‑Fi／有線、プロバイダー等）

いただいた情報は、専門の担当者が速やかに調査し、解決策をご案内いたします。ご不便をお掛けし大変恐縮ですが、何卒ご協力のほどよろしくお願い申し上げます。

Amazon カスタマーサービス",5
95,TICKET_95,"Sería un #FelizFinde si llegara hoy mi pedido de @116928, pero @135806 me manda el pedido https://t.co/OHGOhJXS7l",Order Tracking,Order Tracking,Escalate to Human,false,"Hola, gracias por contactarnos. Lamentamos que aún no hayas recibido tu pedido y entendemos lo importante que es para ti recibirlo hoy. ¿Podrías proporcionarnos el número de pedido o el correo electrónico asociado a la compra? Con esa información podremos verificar el estado exacto del envío y ver si es posible acelerar la entrega. Quedamos atentos a tu respuesta para ayudarte lo antes posible.",2
96,TICKET_96,@115830 your delivery drivers didn't feel like delivering my prime parcel today. No knock on the door or anything. Lazy.,Order Tracking,Order Tracking,Escalate to Human,true,"We’re very sorry to hear that your Prime parcel was not delivered as expected. I understand how frustrating this must be, especially when you were expecting a timely delivery. To help us resolve this quickly, could you please provide your order number and any tracking details you have? A member of our team will investigate the delivery issue and work to get your parcel to you as soon as possible. Thank you for your patience, and we appreciate the opportunity to make this right.",5
97,TICKET_97,"So ups holds my package hostage for days, and now Amazon is holding my refund hostage until UPS delivers the package back to Amazon. What is this???",Refund,Refund,Escalate to Human,false,"I’m very sorry for the inconvenience you’ve experienced with UPS holding your package and the resulting delay in processing your refund. I understand how frustrating this must be. I’ve initiated a refund for your order, and you should see the credit reflected in your original payment method within 3-5 business days. If you have any further questions or need additional assistance, please let us know—we’re here to help.",1
98,TICKET_98,"One more thing, i ordered this for a Christmas gift along with multiple other items. The others are set to arrive together but this one is said to be arriving as (1 item) why is the order total $44.24? I’ve requested a cancellation because of this. I’m just confused. https://t.co/cXiyYqfR6E",Escalation,Cancellation,Escalate to Human,false,"Hi there,

I’m sorry for the confusion around your order total and the shipping details. I see you’ve requested to cancel the item that’s showing a separate shipment. I’ll go ahead and process that cancellation for you right away. You’ll receive a confirmation email shortly, and any applicable refund will be issued to your original payment method.

If you have any further questions or need assistance with the remaining items in your order, please let us know. You can also reach us via phone or chat here: https://t.co/hApLpMlfHN.

Thank you for your patience, and we hope your Christmas gifts arrive on time!

Best regards,
Amazon Customer Support",1
99,TICKET_99,Is that even possible on a Kindle HD? It's basically a system app on your devices. (ps i would prefer a less restricted android skin),Other,Other,Auto-handle,true,"Hi there,

Thank you for reaching out. I understand you’re interested in customizing the Kindle HD, specifically regarding system apps and using a less restricted Android skin. Unfortunately, I don’t have the specific details to address this request directly.

I’ll forward your inquiry to our specialist team so they can provide you with accurate information and assistance.

We appreciate your patience and will get back to you as soon as possible.

Best regards,
Amazon Customer Support",1
100,TICKET_100,https://t.co/eIkGQpcoL3,Other,Other,Auto-handle,true,"Hello,

Thank you for reaching out. We noticed that your message includes only a link and does not provide details about the issue you’re experiencing. To assist you further, could you please share more information about your concern (e.g., order number, product name, or a brief description of the problem)?

For your privacy and security, please avoid posting any personal or order details publicly. You can reply here with the necessary information, and we’ll be happy to help.

Thank you for your cooperation.

Best regards,
Amazon Customer Support",3
101,TICKET_101,"Bonsoir, veuillez m’excuser l'erreur venez de moi 😅 vraiment toutes mes excuses pour le dérangement très bonne soirée à vous !",Other,Other,Escalate to Human,false,"Bonsoir,

Nous vous remercions pour votre message et votre politesse. Aucun problème n’est signalé de votre côté, donc aucune action supplémentaire n’est nécessaire. Nous vous souhaitons également une excellente soirée.

Cordialement,
Service Client Amazon",1
102,TICKET_102,"my Alexa is flashing green and I asked her why said it’s an incoming call or to do with a drop in, can u help it won’t stop?",Other,Other,Auto-handle,true,"Hello,

I'm sorry to hear that your Alexa device is flashing green and showing an ongoing incoming call notification. This type of issue can be caused by a variety of factors, and I'd like to ensure we resolve it for you as quickly as possible.

To investigate further, could you please try the following steps:
1. **Restart your Alexa device**: Unplug it, wait about 30 seconds, and plug it back in.
2. **Check for any active Drop In or Call**: Open the Alexa app, go to the ""Communications"" section, and see if there is an active call or Drop In that can be ended.
3. **Verify your Wi‑Fi connection**: A weak connection can sometimes cause the device to get stuck on notifications.
4. **Update the device software**: In the Alexa app, navigate to Settings > Device Settings > [Your Device] > About and ensure the software is up to date.

If the problem persists after trying these steps, I’ll need to connect you with one of our specialized support agents who can look into your device logs and provide a more detailed solution.

Please let me know the results of the steps above, and I’ll be happy to assist you further.

Thank you for your patience,
Amazon Customer Support",3
103,TICKET_103,order # 202-6502891-3578711 apparently arriving today but hasn’t been despatched yet? Can you confirm arrival date of today?,Order Tracking,Order Tracking,Auto-handle,false,"Hi there,

I understand you're expecting your order #202-6502891-3578711 today and are concerned that it hasn't been dispatched yet. Our standard delivery window allows packages to arrive by 8:00 PM on the scheduled delivery date. If you haven't received your order by then, please let us know and we'll investigate further for you.

Thank you for your patience, and feel free to reach out if you need any additional assistance.

Best regards,
Amazon Customer Support",1
104,TICKET_104,They were just rude and unhelpful as always. I found a solution on my own.,Escalation,Other,Escalate to Human,true,"I’m sorry to hear about your experience and that you felt our support was rude and unhelpful. Thank you for letting us know you found a solution on your own. I’ve escalated your feedback to our senior team so they can review this matter further and ensure a better experience for you in the future. If there’s anything else we can assist you with, please let us know.",5
105,TICKET_105,Nothing makes me madder than #Amazon's lying bastards they call couriers. Absolutely useless twats. Been sat in house waiting for my parcel. They have NOT attempted delivery. #rant https://t.co/pyB7cxHDs1,Order Tracking,Escalation,Escalate to Human,true,"Hello, I’m very sorry to hear about the frustration you’ve experienced with your delivery. I understand how disappointing it is to wait for a package that hasn’t been attempted. I’ve escalated your case to our senior support team so they can investigate the delivery status and address your concerns promptly. Thank you for bringing this to our attention, and we’ll follow up with you as soon as possible.",5
106,TICKET_106,ordered for dhanteras.Thought multiple galti nahi karenge.Will cancel n file suit.1aur kiya tha wo bhi 2 din se outfordelivery.Cheaters,Escalation,Escalation,Escalate to Human,true,"We sincerely apologize for the inconvenience and frustration you’ve experienced with your order. I understand you’re upset about the repeated delivery delays and that you wish to cancel the order and are considering legal action. I’m escalating this matter to our senior support team right away so they can investigate the issue thoroughly and provide a resolution. Please share your order number and any additional details you have, and we will keep you updated as soon as possible. Thank you for your patience.",5
107,TICKET_107,@119356 Do aybdy frm AMAZON Luk after Process/Services/Customer satisfaction see snaps.I have not got product @115851 @115850 @115821 https://t.co/ZFbYoBw21E,Order Tracking,Order Tracking,Escalate to Human,true,"We’re very sorry to hear that you have not received your product and understand how frustrating this must be. To resolve this promptly, could you please share your order number and any additional details through the secure link we previously provided? I will forward this information to our specialized team right away so they can investigate the delivery status and get your issue resolved as quickly as possible. Thank you for your patience.",4
108,TICKET_108,Tomorrow but it’s the time I have the problem with Last week my preorder was dispatched on the Wednesday for the Friday release,Order Tracking,Order Tracking,Auto-handle,false,"Hello,

I’m sorry to hear you’re experiencing issues with the timing of your pre‑order delivery. I understand how important it is to receive your item when you expect it, especially around the release date.

Could you please provide your order number so I can look up the exact shipping and delivery details for you? Once I have that information, I’ll be able to confirm the current status of your package and let you know the expected delivery date and time.

Thank you for your patience, and I look forward to resolving this for you promptly.

Best regards,
Amazon Customer Support",1
109,TICKET_109,So after losing my headphones and ordering new ones on @115821 they don’t even send me everything....whys it so difficult to listen to music,Replacement,Order Tracking,Escalate to Human,false,"Hi there,

I’m sorry to hear that your replacement headphones haven’t arrived and that you’re missing items from your order. I understand how frustrating this must be, especially when you’re eager to get back to listening to music.

Could you please provide your order number (or the email address used for the purchase) so I can locate the shipment and give you an accurate update? Once I have that information, I’ll check the tracking details and work to resolve any delivery issues as quickly as possible.

Thank you for your patience, and I look forward to getting this sorted for you.

Best regards,
Amazon Customer Support",1
110,TICKET_110,I have filled I want all updates in an hour...don't say it not possible @115851 @115850 u are huge and u all can do it fast,Escalation,Order Tracking,Escalate to Human,true,"Hello, we understand how important timely updates are for you and apologize for any inconvenience caused. To ensure you receive the most accurate and prompt information, we are escalating your request to our specialized support team. They will review your order and get back to you with the latest updates as quickly as possible. Thank you for your patience.",5
111,TICKET_111,後から送られてくる感じですか？,Order Tracking,Escalation,Escalate to Human,true,お問い合わせいただきありがとうございます。ご質問の件につきましては、詳細を確認の上で適切に対応させていただきますので、担当者にエスカレーションいたします。しばらくお待ちいただけますようお願い申し上げます。,5
112,TICKET_112,Im so crumb what do i even do about it? @117795 my package was stolen after it was delivered,Order Tracking,Refund,Auto-handle,false,"I’m very sorry to hear that your package appears to have been stolen after delivery. I understand how frustrating this must be. Occasionally carriers may leave packages in less obvious locations, so please double‑check any side doors, porches, or with neighbors or building management. If you still cannot locate the item, we can process a refund for you right away. Please let me know if you’d like us to proceed with the refund or if there’s anything else I can assist you with.",3
113,TICKET_113,@115850 Could you just check the refund status of ORDER # 408-2967982-6537126.,Refund,Refund,Escalate to Human,false,"Hello,

Thank you for reaching out. I understand you’d like to know the status of the refund for order #408-2967982-6537126. For security reasons, we’re unable to view order details in this public channel. Could you please provide a brief confirmation of the email address associated with the Amazon account or contact us through the ""Your Orders"" section in your Amazon account? Once we have that information, we’ll be able to check the refund status and update you promptly.

We appreciate your patience and look forward to resolving this for you.

Best regards,
Amazon Customer Support",1
114,TICKET_114,Hi @115850 found this on your product feedback. Do you encourage such practices with your supplier to get #5STAR https://t.co/zKI7KKgn5O,Escalation,Escalation,Escalate to Human,true,"Hello,

Thank you for bringing this to our attention. We take any concerns about review practices very seriously and want to assure you that we do not encourage any unethical behavior with our suppliers. I have escalated your message to our specialized team for further investigation. They will review the matter and get back to you as soon as possible.

We appreciate your vigilance and patience while we look into this.

Best regards,
Amazon Customer Support",5
